DisasterType_InfoType,Information
TerroristAttack_Definition,"Premeditated act of violence against civilians or infrastructure to create fear and achieve political, religious, or ideological objectives."
TerroristAttack_FirstAid_Before,"Be aware of surroundings and report suspicious activities. Identify exits when in public places. Create family emergency communication plan. Prepare emergency kit."
TerroristAttack_FirstAid_During,"RUN if escape route available. HIDE if evacuation not possible (silence phone, lock doors, stay out of sight). FIGHT as last resort. Follow instructions from authorities."
TerroristAttack_FirstAid_After,"When safe, call emergency services. Provide location and description of attackers. Help injured if possible. Raise hands when encountering law enforcement to show you're not a threat."

ActiveShooterIncident_Definition,"Individual actively engaged in killing or attempting to kill people in a confined and populated area, typically through the use of firearms."
ActiveShooterIncident_FirstAid_During,"RUN: Evacuate if possible, leave belongings behind, help others escape if possible. HIDE: If evacuation not possible, find place out of shooter's view, lock doors, block entry, silence phones. FIGHT: As last resort, attempt to incapacitate shooter."
ActiveShooterIncident_FirstAid_After,"Keep hands visible when law enforcement arrives. Report location of shooter and victims. Apply direct pressure to wounds to stop bleeding while waiting for medical help."

TropicalCyclone_Definition,"Rotating system of clouds and thunderstorms that originates over tropical or subtropical waters. Called hurricane in Atlantic/Eastern Pacific, typhoon in Western Pacific, and cyclone in South Pacific/Indian Ocean."
TropicalCyclone_Warning_Signs,"Official forecasts and warnings, rapidly falling barometric pressure, increasing wind speeds, abnormally large ocean swells."
TropicalCyclone_FirstAid_Before,"Develop evacuation plan, secure home (board windows, secure outdoor items), prepare emergency kit with water, food, medications for at least 7 days, important documents, flashlight, radio."
TropicalCyclone_FirstAid_During,"If ordered to evacuate, do so immediately. If sheltering in place, stay in small interior room away from windows. Be aware of eye of storm - winds will intensify again after brief calm."
TropicalCyclone_FirstAid_After,"Stay informed through official channels. Watch for downed power lines, damaged buildings, contaminated water. Document damage for insurance. Be aware of flood risk after storm."
TropicalCyclone_Severity_Scale,"Saffir-Simpson Hurricane Wind Scale: Category 1 (74-95 mph), Category 2 (96-110 mph), Category 3 (111-129 mph), Category 4 (130-156 mph), Category 5 (157+ mph)."

DerailmentOrTrainAccident_Definition,"Incident where train leaves tracks or collides with another train or object, potentially causing casualties, property damage, and hazardous material release."
DerailmentOrTrainAccident_FirstAid_During,"Stay in train unless immediate evacuation necessary (fire, hazardous materials). Follow crew instructions. If evacuating, move away from tracks in direction perpendicular to train."
DerailmentOrTrainAccident_FirstAid_After,"Call emergency services. Apply first aid to injured. If hazardous materials involved, move upwind and report to authorities. Do not touch debris which may be electrified."

AircraftCrash_Definition,"Event in which aircraft collides with ground, water, or other object, often resulting in structural damage and casualties."
AircraftCrash_FirstAid_During,"Assume crash position if instructed (bend forward, head against seat in front, arms around legs). After impact, stay calm and follow crew instructions for evacuation. Leave belongings behind."
AircraftCrash_FirstAid_After,"Move at least 500 feet from wreckage due to fire/explosion risk. Help injured people away from scene. Call emergency services. Report observations to authorities."

MaritimeDisaster_Definition,"Accident involving ships or boats that may include sinking, collision, fire, or grounding, potentially causing casualties, environmental damage, and property loss."
MaritimeDisaster_FirstAid_During,"Don life jacket immediately if available. Follow crew instructions. If abandoning ship, try to stay dry entering water. In water, conserve energy using HELP position (Heat Escape Lessening Position)."
MaritimeDisaster_FirstAid_After,"If in water, stay together with other survivors. Use whistle or light to signal rescuers. Once rescued, treat for hypothermia if necessary. Report information about other possible survivors."

PowerOutage_Definition,"Loss of electrical power to an area, caused by equipment failure, weather, excess demand, or human error."
PowerOutage_FirstAid_Before,"Keep flashlights with fresh batteries, portable phone charger, battery-powered radio. Have alternative heating/cooking method. Keep freezer/refrigerator doors closed to maintain cold."
PowerOutage_FirstAid_During,"Disconnect appliances to prevent damage from power surges when electricity returns. Use generators outdoors only, far from windows. Check on vulnerable neighbors. Use stairs instead of elevators."
PowerOutage_FirstAid_After,"Gradually reconnect appliances to prevent power surge. Discard perishable food that was above 40°F for over 2 hours. Restock emergency supplies."

HazardousMaterialsIncident_Definition,"Release or potential release of dangerous substances including chemicals, radioactive materials, or biological agents that may harm people, property, or environment."
HazardousMaterialsIncident_Warning_Signs,"Unusual odors, vapor clouds, leaking containers, dead plants or animals, irritation to eyes/skin/throat, placards or labels indicating hazardous materials."
HazardousMaterialsIncident_FirstAid_Before,"Know emergency alert systems in your area. Create family emergency plan including evacuation routes. Prepare emergency kit with water, food, medications."
HazardousMaterialsIncident_FirstAid_During,"If instructed to evacuate, do so immediately. If ordered to shelter-in-place, close windows/doors, turn off HVAC systems, seal gaps under doors with wet towels. Move to above-ground interior room."
HazardousMaterialsIncident_FirstAid_After,"Wait for all-clear from authorities before returning to area. Upon return, ventilate buildings. Clean household items affected by airborne contaminants. Seek medical attention if experiencing symptoms."

Pandemic_Definition,"Outbreak of infectious disease that spreads across large regions or worldwide, affecting substantial number of people."
Pandemic_Warning_Signs,"Official declarations from health organizations, reports of unusual disease clusters, travel advisories or restrictions."
Pandemic_FirstAid_Before,"Stock emergency supplies including water, food, medications, hygiene items. Create household plan for possible quarantine. Stay informed through official health channels."
Pandemic_FirstAid_During,"Follow official guidance regarding social distancing, mask usage, or quarantine. Practice good hygiene including frequent handwashing. Seek medical care if developing symptoms following recommended protocols."
Pandemic_FirstAid_After,"Continue following health guidance as disease may recur. Restock emergency supplies. Support recovery efforts in community."

CivilUnrest_Definition,"Public disturbance involving acts of violence by groups or crowds, potentially resulting in injury, property damage, or disruption of community functions."
CivilUnrest_Warning_Signs,"Large gatherings, increased police presence, official warnings or curfews, escalating tensions visible on streets or reported in media."
CivilUnrest_FirstAid_Before,"Stay informed through reliable sources. Create emergency communication plan. Avoid areas of potential unrest. Prepare emergency supplies in case sheltering at home becomes necessary."
CivilUnrest_FirstAid_During,"If nearby, move away from area quickly without drawing attention. If at home, stay inside, lock doors/windows, move away from exterior walls. Avoid displaying valuables or discussing sensitive topics in public."
CivilUnrest_FirstAid_After,"Continue monitoring official information. Document any property damage for insurance. Seek medical attention for injuries. Support community recovery efforts."

WaterContaminationOrBoilOrder_Definition,"Pollution of water supply with chemicals, microorganisms, or other substances that make water unsafe for consumption or specific uses."
WaterContaminationOrBoilOrder_Warning_Signs,"Official boil water advisories, unusual water color/odor/taste, illness clusters in community, utility company notifications."
WaterContaminationOrBoilOrder_FirstAid_Before,"Store emergency water supply (1 gallon per person per day for at least 3 days). Keep water purification methods available (filters, purification tablets, unscented bleach)."
WaterContaminationOrBoilOrder_FirstAid_During,"Follow official guidance. If boil order issued, bring water to rolling boil for at least 1 minute before consumption or food preparation. Use bottled water for brushing teeth and washing dishes."
WaterContaminationOrBoilOrder_FirstAid_After,"Flush home water system according to utility guidance when all-clear given. Replace water filters. Discard ice made during contamination period."

Dam_Levee_Failure_Definition,"Uncontrolled release of water from water control structure due to structural failure or capacity exceedance, causing rapid flooding downstream."
Dam_Levee_Failure_Warning_Signs,"Unusual cracks, seepage, or leaks in dam structure, rapidly rising water levels upstream, official warnings and evacuation orders."
Dam_Levee_Failure_FirstAid_Before,"Know if you live in potential inundation zone. Understand emergency action plans and evacuation routes. Prepare emergency kit with water, food, medications."
Dam_Levee_Failure_FirstAid_During,"Evacuate immediately if instructed - minutes matter. Move to higher ground away from water courses. Never drive or walk through flood waters."
Dam_Levee_Failure_FirstAid_After,"Do not return until officials declare area safe. Be aware of road washouts and bridge damage. Watch for downed power lines and gas leaks. Document damage for insurance."

SevereThunderstorm_Definition,"Weather event producing thunder, lightning, heavy rain, and possibly hail, strong winds, or tornadoes."
SevereThunderstorm_Warning_Signs,"Dark, towering clouds; increasing wind; sudden drop in temperature; official warnings."
SevereThunderstorm_FirstAid_Before,"Secure outdoor objects that could blow away. Close windows and doors. Prepare emergency kit with flashlight, battery-powered radio, water, food."
SevereThunderstorm_FirstAid_During,"Stay indoors away from windows. Unplug sensitive electronics. Avoid using corded phones or electrical appliances. If outdoors, seek shelter in substantial building or hard-topped vehicle."
SevereThunderstorm_FirstAid_After,"Watch for fallen power lines and tree limbs. Check for damage to home. Stay away from storm-damaged areas. Report downed power lines to utility company."

Lightning_Definition,"Giant spark of electricity between atmosphere and ground, or within clouds, producing light, thunder, and powerful electrical current."
Lightning_Warning_Signs,"Darkening skies, increasing winds, thunder sounds (lightning is already present if thunder is heard)."
Lightning_FirstAid_Before,"Know 30-30 rule: If less than 30 seconds between lightning and thunder, seek shelter. Wait 30 minutes after last thunder before resuming outdoor activities."
Lightning_FirstAid_During,"Seek shelter in substantial building or hard-topped vehicle. If outside with no shelter, stay away from tall objects, open fields, water. Crouch if in open area, keeping feet together and minimal contact with ground."
Lightning_FirstAid_After,"Call emergency services immediately if someone struck. Lightning victims do not carry electrical charge and are safe to touch. Begin CPR if needed. Check for burns and other injuries."
Lightning_FirstAid_StrikeVictim,"Lightning victims may suffer cardiac arrest, burns, nervous system damage. Begin CPR immediately if not breathing or no pulse. Cover burns with dry, sterile bandage. Seek immediate medical attention."

WildfireSmoke_Definition,"Airborne particles and gases released by burning vegetation and structures, potentially causing respiratory issues and reduced visibility."
WildfireSmoke_Warning_Signs,"Visible haze, smell of smoke, ash falling, irritation to eyes/throat, official air quality warnings."
WildfireSmoke_FirstAid_Before,"Create clean room in home (room with few windows/doors, portable air cleaner). Stock N95 respirator masks. Prepare emergency kit in case evacuation becomes necessary."
WildfireSmoke_FirstAid_During,"Stay indoors with windows/doors closed. Use HEPA air purifier if available. Avoid activities that increase indoor pollution. If driving, set air conditioning to recirculate. Wear N95 mask if outdoors."
WildfireSmoke_FirstAid_After,"Continue monitoring air quality as conditions can change rapidly. Clean indoor surfaces with damp cloth to remove settled particles. Replace HVAC filters."

Sinkhole_Definition,"Depression or hole in ground caused by collapse of surface layer due to dissolution of underlying soluble rocks or underground erosion."
Sinkhole_Warning_Signs,"Cracks in foundations or walls, doors/windows that no longer close properly, depressions in yard, wilting vegetation in circular pattern, sudden drainage problems."
Sinkhole_FirstAid_Before,"Know if you live in sinkhole-prone area. Consider sinkhole insurance if appropriate. Maintain water drainage systems to prevent erosion."
Sinkhole_FirstAid_During,"If sinkhole appears, evacuate area immediately. Never enter sinkhole to investigate. Contact local emergency management authorities. Rope off area to prevent accidents."
Sinkhole_FirstAid_After,"Do not return to affected buildings until structural assessment completed by professionals. Document damage for insurance. Monitor area for continued subsidence."

ExtremeCold_Definition,"Period of abnormally low temperatures that can lead to frostbite, hypothermia, frozen pipes, and other hazards."
ExtremeCold_Warning_Signs,"Official forecasts and warnings, rapidly falling temperatures, wind chill advisories."
ExtremeCold_FirstAid_Before,"Weatherproof home, prepare emergency heating source with proper ventilation. Store extra blankets, warm clothing. Prepare emergency kit with water, food, medications."
ExtremeCold_FirstAid_During,"Stay indoors if possible. If outdoors, dress in layers with waterproof outer layer. Cover head, face, hands. Keep dry. Check on vulnerable neighbors. Let faucets drip to prevent pipe freezing."
ExtremeCold_FirstAid_After,"Check for frozen pipes (no water from tap). Thaw gradually with warm air. Watch for signs of frostbite and hypothermia. Restock emergency supplies."
ExtremeCold_Illness_Frostbite,"Symptoms: Numbness, white or grayish-yellow skin, firm or waxy skin. Treatment: Get to warm area, immerse in warm (not hot) water, do not walk on frostbitten feet or massage affected areas."
ExtremeCold_Illness_Hypothermia,"Symptoms: Shivering, exhaustion, confusion, memory loss, slurred speech, drowsiness. Treatment: Get to warm area, remove wet clothing, warm center of body first with dry blankets, warm beverages if conscious, seek medical attention."

Drought_WaterConservation,"Minimize shower time; fix leaks promptly; run full loads in washing machines/dishwashers; capture and reuse gray water for plants; use drought-resistant landscaping; collect rainwater where legal; use mulch to retain soil moisture; water plants early morning or evening."
Drought_EmergencyWaterSources,"Last resort sources include: water heater tank (shut off power first); toilet tank (not bowl, and no disinfectants added); melted ice cubes; canned fruit/vegetable liquid (for drinking only if food not salted); hidden water in household pipes (after shutting off main valve, open highest faucet to let air in, then drain from lowest point)."

Earthquake_SafetyDistances,"Stay at least 10 feet away from windows during shaking; move at least 50 feet away from damaged buildings after earthquake"
